CODIGO;NOMBRE;CATEGORIA;SUBCATEGORIA;TONALIDAD;COLORES;FORMATO;AMBIENTE;ESTILO;EMOCION;IMPACTO_VISUAL;TECNICA_VISUAL
520;Choque de fuerzas;Animales;Caballos;Madera;marron, ocre, negro;Horizontal;Hall de Entrada;Moderno;Fuerza;Protagonista;Digital/3D
817;El resplandor;Paisajes;Playa;Natural;azul, amarillo, naranja;Horizontal;Dormitorio;Moderno;Calma;Equilibrado;Fotográfica
855;Campo de girasoles 1;Botanica;Girasoles;Natural;azul, amarillo, naranja;Horizontal;Comedor;Clásico;Alegría;Protagonista;Fotográfica
874;La venganza;Personas;Mujer;Frio;magenta, azul, beige;Horizontal;Hall de Entrada;Boho;Fuerza;Protagonista;Pictórica
990;Abundancia;Comida;Frutas;Madera;naranja, violeta, verde;Horizontal;Cocina;Clásico;Armonía;Equilibrado;Fotográfica
1010;Luna surrealista;Paisajes;Luna;Oscuro;negro, amarillo, azul;Vertical;Dormitorio;Moderno;Misterio;Protagonista;Pictórica
1045;Princesa del sur;Mujer;General;Calido;beige, rojo, naranja;Vertical;Hall de Entrada;Moderno;Elegancia;Protagonista;Ilustrativa
1065;Explosion Floral;Botanica;Flores;Vibrante;magenta, naranja, dorado;Horizontal;Hall de Entrada;Elegante;Energía;Protagonista;Pictórica
1082;Espíritu Viajero;Mapamundi;General;Calido;marron, ocre, negro;Horizontal;Oficina;Industrial;Inspiración;Protagonista;Digital/3D
1133;Donde Nace el Sol;Paisajes;Playa;Vibrante;celeste, amarillo, naranja;Horizontal;Baño;Moderno;Calma;Equilibrado;Pictórica
1134;El Corazón Zen 1;Budismo;General;Vibrante;celeste, rosa, amarillo;Horizontal;Dormitorio;Boho;Calma;Equilibrado;Ilustrativa
1135;El Camino del Loto 1;Budismo;General;Vibrante;amarillo, turquesa;Horizontal;Dormitorio;Boho;Calma;Equilibrado;Ilustrativa
1136;Negocios;Personas;Hombre;Oscuro;blanco, negro, sepia;Horizontal;Oficina;Industrial;Inspiración;Protagonista;Collage/Mixta
1137;Atardecer Costero 1;Paisajes;Playa;Calido;naranja, turquesa;Horizontal;Living;Moderno;Energía;Protagonista;Pictórica
1138;Gigantes de Piedra;Paisajes;Montañas;Natural;verde, beige;Horizontal;Dormitorio;Nórdico;Calma;Suave;Ilustrativa
1141;Esencia Marina;Paisajes;Playa;Natural;celeste, beige;Horizontal;Baño;Minimalista;Calma;Suave;Fotográfica
1146;Delicias ;Tematico;Gastronomia;Calido;naranja, verde, amarillo;Horizontal;Cocina;Moderno;Energía;Protagonista;Fotográfica
1164;Sin Miedo;Animales;Felinos;Oscuro;blanco, negro;Horizontal;Oficina;Moderno;Fuerza;Protagonista;Fotográfica
1165;Panorama Urbano;Paisajes;Ciudades;Oscuro;azul, gris, blanco;Horizontal;Oficina;Industrial;Inspiración;Equilibrado;Ilustrativa
1166;Besame;Personas;Mujer;Vibrante;rojo, negro;Horizontal;Dormitorio;Moderno;Romanticismo;Protagonista;Fotográfica
1167;Multicorazones;Romantico;Corazon;Vibrante;rojo, negro;Horizontal;Dormitorio;Minimalista;Romanticismo;Equilibrado;Fotográfica
1169;La Caricia del Viento;Plumas;General;Calido;naranja, turquesa;Horizontal;Dormitorio;Boho;Libertad;Equilibrado;Pictórica
1170;Plumas Celestiales;Plumas;General;Vibrante;rosa;Horizontal;Dormitorio;Boho;Calma;Suave;Pictórica
